#Molecule	State	      Excitation		CASPT2a	CASPT2b	CC3	Best	BP86	B3LYP	BHLYP	DFT/MRCI
Benzoquinone	1-1B1g   ($\pi\rightarrow\pi^{*}$)	2.5	2.76	2.75	2.76	1.89	2.43	3.04	2.22
Benzoquinone	1-1B1u   ($\pi\rightarrow\pi^{*}$)	5.15	5.28	5.62	5.28	4.49	4.83	5.31	5.07
Benzoquinone	2-1B1u   ($\pi\rightarrow\pi^{*}$)	7.08	7.92	7.82	-	6.82	7.25	7.73	7.6
Benzoquinone	1-1B3g   ($\pi\rightarrow\pi^{*}$)	4.19	4.26	4.59	4.26	3.36	3.73	4.25	3.99
Benzoquinone	2-1B3g   ($\pi\rightarrow\pi^{*}$)	6.34	6.96	7.27	6.96	6.12	6.59	7.32	6.71
Benzoquinone	1-1B3u   ($\pi\rightarrow\pi^{*}$)	5.15	5.64	5.82	5.64	4.39	5.43	6.8	5.81
Formamide	1-1A"    ($\pi\rightarrow\pi^{*}$)	5.61	5.63	5.65	5.63	5.46	5.55	5.77	5.47
Formamide	2-1A'    ($\pi\rightarrow\pi^{*}$)	7.41	7.39	8.27	7.39	7.9	8.13	8.84	8.14
Formamide	3-1A'    ($\pi\rightarrow\pi^{*}$)	10.5	10.54	10.93	-	10.98	10.92	11.38	10.57
Acetamide	1-1A"    ($\pi\rightarrow\pi^{*}$)	5.54	5.69	5.69	5.69	5.41	5.56	5.86	5.48
Acetamide	2-1A'    ($\pi\rightarrow\pi^{*}$)	7.21	7.27	7.67	7.27	7.5	7.46	8.14	7.51
Acetamide	3-1A'    ($\pi\rightarrow\pi^{*}$)	10.08	10.09	10.5	-	9.42	10.01	10.59	9.98
Propanamide	1-1A"    ($\pi\rightarrow\pi^{*}$)	5.48	5.72	5.72	5.72	5.43	5.59	5.89	5.47
Propanamide	2-1A'    ($\pi\rightarrow\pi^{*}$)	7.28	7.2	7.62	7.2	7.28	7.76	8.09	7.46
Propanamide	3-1A'    ($\pi\rightarrow\pi^{*}$)	9.95	9.94	10.06	-	8.17	9	10.07	9.51
Cytosine	2-1A'    ($\pi\rightarrow\pi^{*}$)	4.39	4.67	-	4.66	4.2	4.64	5.19	4.62
Cytosine	3-1A'    ($\pi\rightarrow\pi^{*}$)	5.36	5.53	-	5.62	4.92	5.42	6.16	5.43
Cytosine	4-1A'    ($\pi\rightarrow\pi^{*}$)	6.16	6.4	-	-	6.49	6.72	6.99	6.38
Cytosine	5-1A'    ($\pi\rightarrow\pi^{*}$)	6.74	6.97	-	-	6.37	6.46	7.44	6.74
Cytosine	1-1A"    ($\pi\rightarrow\pi^{*}$)	5	5.12	-	4.87	3.79	4.76	6.21	4.86
Cytosine	2-1A"    ($\pi\rightarrow\pi^{*}$)	6.53	5.53	-	5.26	4.49	5.11	5.64	5.32
Thymine		2-1A'    ($\pi\rightarrow\pi^{*}$)	4.88	5.06	-	5.2	4.6	5	5.48	5.18
Thymine		3-1A'    ($\pi\rightarrow\pi^{*}$)	5.88	6.15	-	6.27	5.33	5.97	6.94	5.98
Thymine		4-1A'    ($\pi\rightarrow\pi^{*}$)	6.1	6.53	-	6.53	5.85	6.31	7.03	6.42
Thymine		5-1A'    ($\pi\rightarrow\pi^{*}$)	7.13	7.43	-	-	6.93	7.47	8.17	7.36
Thymine		1-1A"    ($\pi\rightarrow\pi^{*}$)	4.39	4.95	-	4.82	4.09	4.7	5.3	4.48
Thymine		2-1A"    ($\pi\rightarrow\pi^{*}$)	5.91	6.38	-	6.16	4.79	5.8	6.77	5.93
Thymine		3-1A"    ($\pi\rightarrow\pi^{*}$)	6.15	6.85	-	-	5.33	6.21	7.7	6.43
Thymine		4-1A"    ($\pi\rightarrow\pi^{*}$)	6.7	7.43	-	-	6.13	6.69	8.03	6.86
Uracil		2-1A'    ($\pi\rightarrow\pi^{*}$)	5	5.23	-	5.35	4.77	5.19	5.67	5.33
Uracil		3-1A'    ($\pi\rightarrow\pi^{*}$)	5.82	6.15	-	6.26	5.21	5.87	6.9	5.92
Uracil		4-1A'    ($\pi\rightarrow\pi^{*}$)	6.46	6.74	-	6.7	6.01	6.5	7.21	6.56
Uracil		5-1A'    ($\pi\rightarrow\pi^{*}$)	7	7.42	-	-	7.06	7.45	8.09	7.31
Uracil		1-1A"    ($\pi\rightarrow\pi^{*}$)	4.54	4.91	-	4.8	3.97	4.63	5.27	4.41
Uracil		2-1A"    ($\pi\rightarrow\pi^{*}$)	6	6.28	-	6.1	4.76	5.74	6.61	5.84
Uracil		3-1A"    ($\pi\rightarrow\pi^{*}$)	6.37	6.98	-	6.56	5.23	6.14	7.72	6.43
Uracil		4-1A"    ($\pi\rightarrow\pi^{*}$)	6.95	7.28	-	-	6.11	6.64	7.91	6.79
Adenine		2-1A'    ($\pi\rightarrow\pi^{*}$)	5.13	5.2	-	5.25	4.99	5.27	5.67	4.99
Adenine		3-1A'    ($\pi\rightarrow\pi^{*}$)	5.2	5.29	-	5.25	4.57	5	5.48	5.15
Adenine		4-1A'    ($\pi\rightarrow\pi^{*}$)	6.24	6.34	-	-	5.84	6.32	6.87	6.29
Adenine		5-1A'    ($\pi\rightarrow\pi^{*}$)	6.72	6.64	-	-	6.27	6.69	7.3	6.19
Adenine		6-1A'    ($\pi\rightarrow\pi^{*}$)	6.99	6.87	-	-	6.65	7.08	7.71	7.1
Adenine		7-1A'    ($\pi\rightarrow\pi^{*}$)	7.57	7.56	-	-	6.91	7.52	8.22	6.62
Adenine		1-1A"    ($\pi\rightarrow\pi^{*}$)	6.15	5.19	-	5.12	4.3	4.97	5.81	5.11
Adenine		2-1A"    ($\pi\rightarrow\pi^{*}$)	6.86	5.96	-	5.75	5.05	5.61	6.34	5.72
