#Molecule	State	Excitation 			CASPT2a	CASPT2b	CC3	Best	BP86	B3LYP	BHLYP	DFT/MRCI
Tetrazine	1-3Au   ($\pi\rightarrow\pi^{*}$)       2.81	3.28	3.52	3.52	2.52	3.10	3.76	3.50
Tetrazine	2-3Au   ($\pi\rightarrow\pi^{*}$)       4.85	5.04	5.03	5.03	4.00	4.43	4.99	4.84
Tetrazine	1-3B1g  ($\pi\rightarrow\pi^{*}$)       3.76	4.14	4.21	4.21	3.32	3.63	3.90	3.92
Tetrazine	2-3B1g  ($\pi\rightarrow\pi^{*}$)       5.68	6.37	6.60	-	5.61	6.33	7.53	6.27
Tetrazine	1-3B1u  ($\pi\rightarrow\pi^{*}$)       4.25	4.37	4.33	4.33	4.24	3.83	2.51	4.27
Tetrazine	2-3B1u  ($\pi\rightarrow\pi^{*}$)       5.00	5.40	5.38	5.38	5.12	5.24	5.36	5.26
Tetrazine	1-3B2g  ($\pi\rightarrow\pi^{*}$)       4.67	4.94	4.93	4.93	4.17	4.48	4.76	4.64
Tetrazine	2-3B2g  ($\pi\rightarrow\pi^{*}$)       5.30	5.97	6.04	-	4.77	5.62	6.91	5.78
Tetrazine	1-3B2u  ($\pi\rightarrow\pi^{*}$)       4.29	4.39	4.54	4.54	4.11	4.06	3.91	4.21
Tetrazine	2-3B2u  ($\pi\rightarrow\pi^{*}$)       6.81	7.08	7.36	-	6.42	6.63	6.94	6.94
Tetrazine	1-3B3u  ($\pi\rightarrow\pi^{*}$)       1.45	1.61	1.89	1.89	1.11	1.42	1.69	1.88
Tetrazine	2-3B3u  ($\pi\rightarrow\pi^{*}$)       6.14	6.54	6.53	-	5.36	5.97	6.83	6.36
Formaldehyde	1-3A2   ($\pi\rightarrow\pi^{*}$)       3.48	3.58	3.55	3.50	3.05	3.13	3.21	3.32
Formaldehyde	1-3A1   ($\pi\rightarrow\pi^{*}$)       5.99	5.84	5.83	5.87	5.48	5.18	4.38	5.46
Acetone		1-3A2   ($\pi\rightarrow\pi^{*}$)       3.90	4.10	4.05	4.05	3.56	3.69	3.84	3.85
Acetone		1-3A1   ($\pi\rightarrow\pi^{*}$)       5.98	6.04	6.03	6.03	5.57	5.39	4.81	5.64
Benzoquinone	1-3Au   ($\pi\rightarrow\pi^{*}$)       2.27	2.66	2.62	2.62	1.56	2.05	3.20	2.31
Benzoquinone	1-3B1g  ($\pi\rightarrow\pi^{*}$)       2.17	2.62	2.51	2.51	1.44	1.92	2.42	2.21
Benzoquinone	1-3B1u  ($\pi\rightarrow\pi^{*}$)       2.91	2.99	2.96	2.96	2.42	2.19	1.21	2.62
Benzoquinone	1-3B3g  ($\pi\rightarrow\pi^{*}$)       3.19	3.32	3.41	3.41	2.59	2.68	2.44	3.09
Formamide	1-3A"   ($\pi\rightarrow\pi^{*}$)       5.34	5.40	5.36	5.36	4.87	4.97	5.14	5.12
Formamide	1-3A'   ($\pi\rightarrow\pi^{*}$)       5.69	5.58	5.74	5.74	5.20	5.13	4.93	5.42
Acetamide	1-3A"   ($\pi\rightarrow\pi^{*}$)       5.24	5.41	5.42	5.42	4.85	5.01	5.25	5.13
Acetamide	1-3A'   ($\pi\rightarrow\pi^{*}$)       5.57	5.63	5.88	5.88	5.26	5.26	5.14	5.52
Propanamide	1-3A"   ($\pi\rightarrow\pi^{*}$)       5.28	5.45	5.45	5.45	4.89	5.04	5.29	5.13
Propanamide	1-3A'   ($\pi\rightarrow\pi^{*}$)       5.94	5.80	5.90	5.90	5.27	5.28	5.18	5.51
